place_name,address_name,road_address_name,x,y
뚜레쥬르 리버파크10단지점,서울 강동구 강일동 695,서울 강동구 고덕로97길 20,127.179931991312,37.5592161627708
CU 고덕2단지점,서울 강동구 강일동 717,서울 강동구 고덕로 427,127.17294564932791,37.55832020098784
CU ATM 고덕2단지점,서울 강동구 강일동 717,서울 강동구 고덕로 427,127.173181031297,37.5587973839032
이삭토스트 강동구청역점,서울 강동구 성내동 320-7,서울 강동구 천호옛길 14,127.12132698572889,37.53070584478134
이삭토스트 명일역점,서울 강동구 명일동 324-1,서울 강동구 양재대로 1626,127.14413383968319,37.550582383069056
이삭토스트 강동성심병원점,서울 강동구 천호동 155-5,서울 강동구 성안로 155,127.13488656600119,37.53712310694886
이삭토스트 상일동역점,서울 강동구 고덕동 210-5,서울 강동구 고덕로 391,127.168999987544,37.5571888573018
이삭토스트 강일리버파크점,서울 강동구 강일동 675-4,서울 강동구 아리수로93길 9,127.17443200097868,37.56525838349474
이삭토스트 암사역점,서울 강동구 암사동 502-19,서울 강동구 올림픽로 779,127.127513340959,37.550687997272
이삭토스트 송파풍납점,서울 송파구 풍납동 406-1,서울 송파구 토성로 65,127.117264908508,37.5289421839163
이삭토스트 광나루점,서울 광진구 광장동 258-37,서울 광진구 광장로 47,127.102505392987,37.5470155594757
GS25 상일세종점,서울 강동구 상일동 501,서울 강동구 상일로10길 36,127.17430783937859,37.55083091526964
메가MGC커피 천호초교사거리점,서울 강동구 천호동 293-16,서울 강동구 구천면로 305,127.13434419367,37.5469872321073
순대실록 상일동점,서울 강동구 고덕동 210-1,서울 강동구 고덕로 399,127.17014718257592,37.55750706338525
프랭크버거 상일동점,서울 강동구 상일동 521,서울 강동구 상일로 55,127.16985694950459,37.553297124049344
프랭크버거 고덕점,서울 강동구 명일동 48-17,서울 강동구 동남로 877,127.155801963945,37.5520154664602
프랭크버거 고덕비즈밸리점,서울 강동구 고덕동 343-2,서울 강동구 고덕비즈밸리로 26,127.160158046657,37.5653488875304
프랭크버거 명일점,서울 강동구 명일동 325-11,서울 강동구 구천면로 424,127.145664604299,37.5503921960782
프랭크버거 하남점,경기 하남시 풍산동 517,경기 하남시 미사강변대로34번길 72,127.18765113380003,37.55574161876653
프랭크버거 하남미사점,경기 하남시 망월동 1129-2,경기 하남시 미사강변동로84번길 29,127.1948477319086,37.5630865916962
마루마당김밥,서울 강동구 천호동 386-11,서울 강동구 구천면로33길 24,127.12966544069,37.5426640649351
차오차오 강일점,서울 강동구 강일동 679-1,서울 강동구 아리수로 423,127.174258778314,37.5647531810459
우리들은,서울 강동구 상일동 524,서울 강동구 상일로12길 99,127.17299190627828,37.5567884395852
강동우리들요양병원,서울 강동구 천호동 420-6,서울 강동구 구천면로 202,127.127070910708,37.5400503836285
우리들약국,서울 강동구 암사동 502-20,서울 강동구 올림픽로 781,127.12763832278,37.5509806865118
우리들탁구클럽,서울 강동구 길동 335-3,서울 강동구 양재대로122가길 39,127.142875106512,37.543888595432
우리들클리닉 주차장,서울 강동구 암사동 502-20,서울 강동구 올림픽로 781,127.127638371947,37.5510095183865
우리들치과의원,서울 강동구 길동 391-2,서울 강동구 양재대로 1486,127.140542804215,37.5383772796618
우리들클리닉,서울 강동구 암사동 502-20,서울 강동구 올림픽로 781,127.127570429128,37.5509843638745
우리들단지내공인중개사사무소,서울 강동구 암사동 509,서울 강동구 상암로 11,127.125986282446,37.5510941844885
우리들 공인중개사사무소,서울 강동구 고덕동 165-10,서울 강동구 아리수로 376-2,127.170059534882,37.5617679996228
우리들생활과학,경기 하남시 풍산동 490-2,경기 하남시 미사강변서로 16,127.18453058262172,37.55192631109542
우리들 공인중개사사무소,서울 광진구 광장동 453-1,서울 광진구 아차산로 546,127.10197476149,37.5429290880142
윤앤윤이비인후과의원,서울 강동구 암사동 502-20,서울 강동구 올림픽로 781,127.1276066669313,37.55099874068163
늘푸른치과의원,서울 강동구 암사동 502-20,서울 강동구 올림픽로 781,127.127606666931,37.5509987406816
윤앤윤이비인후과의원 강동수면센터,서울 강동구 암사동 502-20,서울 강동구 올림픽로 781,127.12755011446426,37.55101682173955
또와분식,서울 강동구 명일동 15,서울 강동구 명일로 375,127.1494543205901,37.55199213669177
또와,서울 강동구 암사동 515-24,서울 강동구 상암로4길 22,127.126072030058,37.549596634524
굿찬,서울 강동구 고덕동 694,서울 강동구 고덕로 385,127.16841074061946,37.55736629453591
써브웨이 상일동점,서울 강동구 상일동 501-2,서울 강동구 상일로6길 21,127.17456437723445,37.5497105965775
맘스터치 천호로데오점,서울 강동구 천호동 453-24,서울 강동구 천호대로157길 26,127.12755199450643,37.53883711962933
맘스터치 강동역점,서울 강동구 천호동 158-3,서울 강동구 성안로 149,127.134714684539,37.5365496365484
맘스터치 굽은다리역점,서울 강동구 천호동 50-13,서울 강동구 양재대로 1539,127.141761390361,37.5431520197272
맘스터치 강동명일점,서울 강동구 명일동 327-1,서울 강동구 구천면로 428,127.146277548446,37.5501806048839
맘스터치 강동고덕점,서울 강동구 고덕동 645-7,서울 강동구 동남로81길 76,127.152768977889,37.5591823540406
맘스터치 둔촌동역점,서울 강동구 성내동 440,서울 강동구 양재대로 1319,127.13443906482,37.5241954271919
맘스터치 암사역점,서울 강동구 천호동 287-1,서울 강동구 올림픽로 766,127.1275543986,37.5495463886113
맘스터치 강동강일점,서울 강동구 강일동 675-1,서울 강동구 아리수로93길 27,127.17387484852469,37.565630415310785
맘스터치 송파풍납점,서울 송파구 풍납동 406-1,서울 송파구 토성로 65,127.11707494635,37.5290072444674
맘스터치 미사강변대로점,경기 하남시 풍산동 504-2,경기 하남시 미사강변대로 80,127.187853573288,37.5570378304518
GS25 암사역점,서울 강동구 암사동 502-6,서울 강동구 상암로 29,127.1269494890943,37.55052011824553
GS25 S8암사역점,서울 강동구 암사동 501,서울 강동구 올림픽로 지하 776,127.127541832166,37.5501410608145
이디야커피 천호로데오점,서울 강동구 천호동 454-15,서울 강동구 천호대로 1027,127.12614806668299,37.538308569598506
이디야커피 올림픽북문점,서울 강동구 성내동 448-7,서울 강동구 성안로 7,127.12888502014141,37.52445389921728
이디야커피 천호초교사거리점,서울 강동구 천호동 234-6,서울 강동구 구천면로 304,127.13469690834619,37.54679491764896
이디야커피 보훈병원점,서울 강동구 둔촌동 556,서울 강동구 명일로 110,127.14335310616,37.5287728428709
이디야커피 고덕그라시움후문점,서울 강동구 고덕동 225,서울 강동구 동남로82길 121,127.163654845638,37.5603642896582
이디야커피 길동사거리점,서울 강동구 성내동 378-2,서울 강동구 천호대로 1132,127.1369820967,37.5340710800713
이디야커피 명일중앙점,서울 강동구 명일동 347-3,서울 강동구 상암로 210,127.145926114351,37.546378828239
이디야 상일리엔파크점,서울 강동구 상일동 490,서울 강동구 상일로 74,127.174191480504,37.5514041212194
이디야커피 강동성내점,서울 강동구 성내동 518,서울 강동구 풍성로 162,127.12988881320513,37.53053455844329
이디야커피 암사중앙점,서울 강동구 암사동 479-13,서울 강동구 암사길 50,127.13475674330222,37.551745833075394
