place_name,address_name,road_address_name,x,y
숯불돼지갈비마포집,서울 강동구 명일동 346-6,서울 강동구 상암로 200,127.1445497042659,37.546176895571215
황푸차이나,서울 강동구 명일동 345-6,서울 강동구 양재대로 1590,127.143696660954,37.5474483442413
명일원조닭발,서울 강동구 명일동 325-16,서울 강동구 상암로47길 86,127.144643682193,37.5503051533352
전주감자탕,서울 강동구 명일동 345-18,서울 강동구 상암로 191,127.14383979642,37.5465579837474
양도령숯불민물장어 본점,서울 강동구 천호동 51-12,서울 강동구 양재대로 1521,127.141191671246,37.5416597470736
행복해,서울 강동구 명일동 343-1,서울 강동구 상암로49길 12,127.144990314221,37.5469782438241
만나하우스,서울 강동구 천호동 44-1,서울 강동구 양재대로 1553,127.142029639811,37.5443833626297
갸또마마,서울 강동구 명일동 336-27,서울 강동구 상암로49길 33,127.14476829571429,37.54803268402034
작은깡통,서울 강동구 길동 330-2,서울 강동구 양재대로124길 47,127.144765052923,37.5428447390426
별미손칼국수전문,서울 강동구 명일동 312-89,서울 강동구 양재대로141길 7,127.143368572894,37.5510347145369
더맛있는족발보쌈 명일점,서울 강동구 명일동 312-76,서울 강동구 양재대로143길 7,127.14348244393,37.5514021832242
스시혼,서울 강동구 명일동 325-11,서울 강동구 구천면로 424,127.145770646331,37.5502208756555
한성관,서울 강동구 명일동 312-152,서울 강동구 양재대로141길 20,127.14283945654245,37.551298447093046
콩심 서울굽은다리역점,서울 강동구 천호동 45-9,서울 강동구 양재대로 1543,127.14188541339196,37.54351317128373
개삼터오리전문 본점,서울 강동구 길동 333-4,서울 강동구 양재대로124길 35,127.14418114039,37.5428256314603
으뜸횟집,서울 강동구 길동 335-3,서울 강동구 양재대로122가길 39,127.142882991289,37.5438696649193
수작,서울 강동구 명일동 343-3,서울 강동구 상암로 201,127.14497735882154,37.54671606925158
맛나감자탕 명일점,서울 강동구 천호동 31-2,서울 강동구 양재대로 1591,127.143027127099,37.5476473767086
카페씨모,서울 강동구 명일동 312-81,서울 강동구 고덕로38길 69,127.14269148810838,37.55144548859973
형제짬뽕,서울 강동구 길동 334-5,서울 강동구 양재대로124길 19,127.143231147319,37.5430880772249
할리스 굽은다리역점,서울 강동구 천호동 31-2,서울 강동구 양재대로 1591,127.14307697314,37.5476761482607
숟가락반상 마실 강동점,서울 강동구 명일동 48-1,서울 강동구 동남로73길 31,127.15434603366,37.55282737513548
돈가,서울 강동구 명일동 343-4,서울 강동구 상암로 203,127.14517403320828,37.54660049984214
북경반점,서울 강동구 명일동 344-1,서울 강동구 양재대로134길 14,127.1444425825585,37.5475465439412
꾸러기분식,서울 강동구 명일동 312-234,서울 강동구 구천면로 389-1,127.14201929509125,37.55085974958153
골드참치,서울 강동구 길동 366-1,서울 강동구 양재대로 1500,127.140929607438,37.5394940580172
앙상블,서울 강동구 명일동 312-43,서울 강동구 양재대로147길 5,127.143703484059,37.5521812772277
천호곱창 천호본점,서울 강동구 천호동 34-25,서울 강동구 상암로 177,127.142064996165,37.5463186648118
브런치빈 명일점,서울 강동구 천호동 24-2,서울 강동구 양재대로 1625,127.143518206478,37.5505768259662
풍년상회 명일점,서울 강동구 명일동 312-43,서울 강동구 양재대로147길 5,127.14368993675707,37.55219841266535
본가삼대냉면 굽은다리점,서울 강동구 명일동 351-13,서울 강동구 양재대로128길 25,127.144243740383,37.5447771181608
큰손칼국수,서울 강동구 명일동 335-14,서울 강동구 양재대로134길 7,127.144032331485,37.547819146493
봉래면옥,서울 강동구 길동 227-1,서울 강동구 명일로 200-16,127.146626432468,37.5364849914451
피짜이올라,서울 강동구 명일동 339-1,서울 강동구 양재대로136길 46,127.146341705958,37.5482668059876
아케루,서울 강동구 명일동 351-30,서울 강동구 양재대로128길 41,127.14505582958684,37.544581507686566
마천아구,서울 강동구 명일동 344-15,서울 강동구 상암로 195,127.144229065306,37.5465575089234
황제한우정육식당 굽은다리역점,서울 강동구 천호동 34-6,서울 강동구 상암로 183,127.1426491311651,37.54644049636221
가마골,서울 강동구 명일동 312-66,서울 강동구 고덕로38길 63,127.14271339012,37.551655394551
투썸플레이스 굽은다리역점,서울 강동구 천호동 50-13,서울 강동구 양재대로 1539,127.141796589389,37.5432159483807
참사랑해 본점,서울 강동구 길동 366-1,서울 강동구 양재대로 1500,127.14111969249298,37.53949112801616
아우네쭈꾸미꼼장어 본점,서울 강동구 명일동 312-69,서울 강동구 양재대로143길 14,127.143179694433,37.5516836619499
양자강,서울 강동구 명일동 343-18,서울 강동구 상암로49길 8,127.145003656088,37.5468556916858
대가흑염소,서울 강동구 명일동 346-5,서울 강동구 상암로 198,127.1442873925016,37.54628984117613
형제기사식당,서울 강동구 길동 383-1,서울 강동구 성안로 186,127.136557632004,37.5395532546221
학생회관분식,서울 강동구 천호동 25-1,서울 강동구 구천면로68길 19,127.1430628072525,37.549737648726556
본가삼대냉면 굽은다리점,서울 강동구 명일동 351-13,서울 강동구 양재대로128길 25,127.144243740383,37.5447771181608
큰손칼국수,서울 강동구 명일동 335-14,서울 강동구 양재대로134길 7,127.144032331485,37.547819146493
봉래면옥,서울 강동구 길동 227-1,서울 강동구 명일로 200-16,127.146626432468,37.5364849914451
피짜이올라,서울 강동구 명일동 339-1,서울 강동구 양재대로136길 46,127.146341705958,37.5482668059876
아케루,서울 강동구 명일동 351-30,서울 강동구 양재대로128길 41,127.14505582958684,37.544581507686566
마천아구,서울 강동구 명일동 344-15,서울 강동구 상암로 195,127.144229065306,37.5465575089234
황제한우정육식당 굽은다리역점,서울 강동구 천호동 34-6,서울 강동구 상암로 183,127.1426491311651,37.54644049636221
가마골,서울 강동구 명일동 312-66,서울 강동구 고덕로38길 63,127.14271339012,37.551655394551
투썸플레이스 굽은다리역점,서울 강동구 천호동 50-13,서울 강동구 양재대로 1539,127.141796589389,37.5432159483807
참사랑해 본점,서울 강동구 길동 366-1,서울 강동구 양재대로 1500,127.14111969249298,37.53949112801616
아우네쭈꾸미꼼장어 본점,서울 강동구 명일동 312-69,서울 강동구 양재대로143길 14,127.143179694433,37.5516836619499
양자강,서울 강동구 명일동 343-18,서울 강동구 상암로49길 8,127.145003656088,37.5468556916858
